"","mean","sd","X2.5.","X50.","X97.5.","Rhat","n.eff","param","model","sp","dhat","nhat","grid","range"
"D[1]",17.471,3.745,11.343,17.121,25.881,1,5062,"D[1]","SCR_random","PEMA",17.5218572220509,88.0119977263264,1,"11.34 - 25.88"
"D[2]",54.336,7.31,41.41,53.952,70.675,1.01,276,"D[2]","SCR_random","PEMA",52.749161805579,264.958163399236,2,"41.41 - 70.67"
"D[3]",36.417,5.389,27.076,36.034,47.78,1,753,"D[3]","SCR_random","PEMA",34.2566648507451,172.0706584209,3,"27.08 - 47.78"
"D[4]",15.189,3.703,9.158,14.732,23.094,1.02,144,"D[4]","SCR_random","PEMA",13.1243022197873,65.9231520089022,4,"9.16 - 23.09"
"D[5]",33.167,4.845,24.487,32.849,43.201,1,6000,"D[5]","SCR_random","PEMA",30.8869569273005,155.144671504207,5,"24.49 - 43.2"
"D[6]",38.067,5.858,27.872,37.627,50.767,1.01,327,"D[6]","SCR_random","PEMA",38.2394375712015,192.076059627808,6,"27.87 - 50.77"
"D[7]",63.779,10.807,44.794,63.11,87.796,1.01,302,"D[7]","SCR_random","PEMA",62.8400993741138,315.644775159815,7,"44.79 - 87.8"
"D[8]",52.913,16.79,29.863,49.274,95.959,1.05,82,"D[8]","SCR_random","PEMA",49.3772243366558,248.020977512645,8,"29.86 - 95.96"
"D[1]1",2.516,0.456,1.736,2.488,3.508,1.01,265,"D[1]","SCR_random","GLSA",2.38397139777016,133.205444859907,1,"1.74 - 3.51"
"D[2]1",2.627,0.425,1.843,2.613,3.508,1,6000,"D[2]","SCR_random","GLSA",2.72081379554133,152.02666120703,2,"1.84 - 3.51"
"D[3]1",3.229,0.495,2.362,3.204,4.277,1.01,816,"D[3]","SCR_random","GLSA",3.02141995629726,168.823161957239,3,"2.36 - 4.28"
"D[4]1",1.297,0.388,0.68,1.253,2.183,1,1668,"D[4]","SCR_random","GLSA",1.14432520947033,63.9396717320005,4,"0.68 - 2.18"
"D[5]1",1.698,0.346,1.092,1.664,2.416,1,901,"D[5]","SCR_random","GLSA",1.68129611871727,93.9431562159041,5,"1.09 - 2.42"
"D[6]1",2.682,0.515,1.79,2.649,3.794,1,3595,"D[6]","SCR_random","GLSA",2.59193589640658,144.825552207606,6,"1.79 - 3.79"
"D[7]1",1.886,0.34,1.289,1.861,2.613,1.01,246,"D[7]","SCR_random","GLSA",1.62895531212186,91.0185907477992,7,"1.29 - 2.61"
"D[8]1",2.539,0.447,1.754,2.506,3.472,1.01,303,"D[8]","SCR_random","GLSA",2.41693093955241,135.047073677094,8,"1.75 - 3.47"
"D[9]",1.288,0.4,0.662,1.235,2.201,1.01,248,"D[9]","SCR_random","GLSA",1.1451381863159,63.9850971689315,9,"0.66 - 2.2"
"D[1]2",2.231,0.357,1.589,2.221,3.006,1.01,285,"D[1]","SCR_random","TATO",2.23944441856226,116.952272176439,1,"1.59 - 3.01"
"D[2]2",3.745,0.445,2.93,3.734,4.653,1,623,"D[2]","SCR_random","TATO",3.74951483891972,195.813870769101,2,"2.93 - 4.65"
"D[3]2",4.096,0.484,3.217,4.079,5.113,1.01,321,"D[3]","SCR_random","TATO",3.88460394469905,202.868735688374,3,"3.22 - 5.11"
"D[4]2",2.461,0.396,1.781,2.432,3.37,1,701,"D[4]","SCR_random","TATO",2.23890552249328,116.924128981988,4,"1.78 - 3.37"
"D[5]2",6.116,0.591,5.017,6.089,7.315,1,617,"D[5]","SCR_random","TATO",6.08629130975301,317.849191479516,5,"5.02 - 7.32"
"D[6]2",1.689,0.355,1.072,1.666,2.47,1.01,340,"D[6]","SCR_random","TATO",1.68497836427509,87.9959541021457,6,"1.07 - 2.47"
"D[7]2",5.81,0.558,4.806,5.783,6.989,1,6000,"D[7]","SCR_random","TATO",5.53567985173912,289.094175026619,7,"4.81 - 6.99"
"D[8]2",8.663,0.765,7.257,8.617,10.244,1,2813,"D[8]","SCR_random","TATO",8.5922909641281,448.721987974595,8,"7.26 - 10.24"
"D[9]1",8.605,0.827,7.123,8.559,10.359,1,1353,"D[9]","SCR_random","TATO",8.29659346394824,433.279544198683,9,"7.12 - 10.36"
